,Person,Condition,Drug,Observation,Measurement,Procedure,Device,Visit,Negation,Qualifier,Temporal,Value,Multiplier,Reference_point,Mood,Post-eligibility,Pregnancy_considerations,Informed_consent
27013,,posterior cruciate ligament (PCL),,,,,,,,,,,,,,,,
27014,,chronic neuropathic pain,,,,,,,,,,,,,,,,
27015,,IRM,,,,,,,,,,,,,,,,
27016,,intact maxillary first premolars,,,,,,,,,,,,,,,,
27017,,liver disease.||Prior,,,,,,,,,,,,,,,,
27018,,transverse maxillary deficiency,,,,,,,,,,,,,,,,
27019,,liver disease||C,,,,,,,,,,,,,,,,
27020,,electrolyte disturbances,,,,,,,,,,,,,,,,
27021,,anti diabetic drugs,,,,,,,,,,,,,,,,
27022,,cystic components,,,,,,,,,,,,,,,,
27023,,pulmonary embolism symptoms,,,,,,,,,,,,,,,,
27024,,dispatch,,,,,,,,,,,,,,,,
27025,,monoculture,,,,,,,,,,,,,,,,
27026,,gastric motility issues,,,,,,,,,,,,,,,,
27027,,radiofrequency destruction,,,,,,,,,,,,,,,,
27028,,impairs visual field testing.|Inability to perform,,,,,,,,,,,,,,,,
27029,,congestive heart failure|Transmural myocardial infarction,,,,,,,,,,,,,,,,
27030,,bulimia,,,,,,,,,,,,,,,,
27031,,NM-101,,,,,,,,,,,,,,,,
27032,,splenic embolization|prior decompensation events|inability to fit into MRI,,,,,,,,,,,,,,,,
27033,,arrest,,,,,,,,,,,,,,,,
27034,,psychotic disorder.|Diagnosis,,,,,,,,,,,,,,,,
27035,,resting conditions,,,,,,,,,,,,,,,,
27036,,nonischemic,,,,,,,,,,,,,,,,
27037,,primary biliary cholangitis,,,,,,,,,,,,,,,,
27038,,F;|Healthy,,,,,,,,,,,,,,,,
27039,,Child-bearing Potential,,,,,,,,,,,,,,,,
27040,,pelvic exenteration,,,,,,,,,,,,,,,,
27041,,SLNB,,,,,,,,,,,,,,,,
27042,,peripheral neurotoxicity,,,,,,,,,,,,,,,,
27043,,calculated by the Schwartz formula|Conjugated,,,,,,,,,,,,,,,,
27044,,Gastric stump cancer,,,,,,,,,,,,,,,,
27045,,organs;|Active severe infection,,,,,,,,,,,,,,,,
27046,,neurological symptoms suggestive of,,,,,,,,,,,,,,,,
27047,,non-GCB DLBCL,,,,,,,,,,,,,,,,
27048,,HCV.|Known HIV infection,,,,,,,,,,,,,,,,
27049,,growth hormone deficiency,,,,,,,,,,,,,,,,
27050,,eye injury,,,,,,,,,,,,,,,,
27051,,discomfort,,,,,,,,,,,,,,,,
27052,,paracetamol.|Fecal incontinence,,,,,,,,,,,,,,,,
27053,,secondary arthritis,,,,,,,,,,,,,,,,
27054,,oral supplemental probiotics,,,,,,,,,,,,,,,,
27055,,functioning biliary stent.|Persons,,,,,,,,,,,,,,,,
27056,,valvular heart disease)|BMI,,,,,,,,,,,,,,,,
27057,,inclusive;|Type 2 diabetes mellitus,,,,,,,,,,,,,,,,
27058,,Hyper-IgG4 syndrome,,,,,,,,,,,,,,,,
27059,,ASPECTS,,,,,,,,,,,,,,,,
27060,,Stable Disease,,,,,,,,,,,,,,,,
27061,,palliative care.|Neurodegenerative disorder.|Comprehension aphasia.|Dementia,,,,,,,,,,,,,,,,
27062,,PCI.|Acute Coronary Syndrome,,,,,,,,,,,,,,,,
27063,,Black,,,,,,,,,,,,,,,,
27064,,stroke；|Sleep disorders,,,,,,,,,,,,,,,,
27065,,old|Health workers,,,,,,,,,,,,,,,,
27066,,Parkinson's disease|Color blindness,,,,,,,,,,,,,,,,
27067,,pressure injury,,,,,,,,,,,,,,,,
27068,,ocular disorder,,,,,,,,,,,,,,,,
27069,,support of the pelvic floor,,,,,,,,,,,,,,,,
27070,,deep brain stimulation intervention,,,,,,,,,,,,,,,,
27071,,communicating the Dutch language.|Written informed consent,,,,,,,,,,,,,,,,
27072,,Autism Spectrum Disorder|Enrolled,,,,,,,,,,,,,,,,
27073,,medical history.|Peripheral blood white,,,,,,,,,,,,,,,,
27074,,sickness|Epileptic insults,,,,,,,,,,,,,,,,
27075,,acute cholecystitis beyond,,,,,,,,,,,,,,,,
27076,,brain tumor multidisciplinary committee,,,,,,,,,,,,,,,,
27077,,myocardial ischemia,,,,,,,,,,,,,,,,
27078,,diffuse intravascular coagulation,,,,,,,,,,,,,,,,
27079,,congenital syphilis,,,,,,,,,,,,,,,,
27080,,aspiration,,,,,,,,,,,,,,,,
27081,,balance deficits,,,,,,,,,,,,,,,,
27082,,Benign pancreatic disorders,,,,,,,,,,,,,,,,
27083,,eosinophilic oesophagitis|Uncontrolled,,,,,,,,,,,,,,,,
27084,,moyamoya disease,,,,,,,,,,,,,,,,
27085,,empyema,,,,,,,,,,,,,,,,
27086,,Type 1 diabetes mellitus,,,,,,,,,,,,,,,,
27087,,Target occlusion,,,,,,,,,,,,,,,,
27088,,complex class,,,,,,,,,,,,,,,,
27089,,infection.|Elevated troponin I.,,,,,,,,,,,,,,,,
27090,,Zimmer Biomet components implanted in accordance with product labeling||,,,,,,,,,,,,,,,,
27091,,anterior chest wall surgery,,,,,,,,,,,,,,,,
27092,,aortic cross-clamp,,,,,,,,,,,,,,,,
27093,,cognitive alterations,,,,,,,,,,,,,,,,
27094,,ischemic rest,,,,,,,,,,,,,,,,
27095,,musculoskeletal disorders like OA,,,,,,,,,,,,,,,,
27096,,vascular anomaly,,,,,,,,,,,,,,,,
27097,,hair thinning,,,,,,,,,,,,,,,,
27098,,vascular obstruction,,,,,,,,,,,,,,,,
27099,,local hypersensitive necrosis reaction,,,,,,,,,,,,,,,,
27100,,malignant liver lesions,,,,,,,,,,,,,,,,
27101,,"renal dysmetabolism,|hypothyroidism",,,,,,,,,,,,,,,,
27102,,native Italian speaker.|Refusal,,,,,,,,,,,,,,,,
27103,,Critically ill,,,,,,,,,,,,,,,,
27104,,singular epileptic seizure,,,,,,,,,,,,,,,,
27105,,tracheostomy,,,,,,,,,,,,,,,,
27106,,abstain from sexual,,,,,,,,,,,,,,,,
27107,,gastrinoma,,,,,,,,,,,,,,,,
27108,,distorted nasal anatomy,,,,,,,,,,,,,,,,
27109,,non-RCC malignancy,,,,,,,,,,,,,,,,
27110,,mixed invasive Candida,,,,,,,,,,,,,,,,
27111,,head lesion,,,,,,,,,,,,,,,,
27112,,inactive toxoplasmosis,,,,,,,,,,,,,,,,
27113,,cultures,,,,,,,,,,,,,,,,
27114,,acute anaphylaxis,,,,,,,,,,,,,,,,
27115,,hepatic impairment|Diagnosed,,,,,,,,,,,,,,,,
27116,,sinus,,,,,,,,,,,,,,,,
27117,,type of intervention,,,,,,,,,,,,,,,,
27118,,language impairment;|Peripheral vascular disease;|Severe cardiovascular disease,,,,,,,,,,,,,,,,
27119,,intracranial artery stenosis,,,,,,,,,,,,,,,,
27120,,ms;|Complete left bundle branch block,,,,,,,,,,,,,,,,
27121,,pneumonectomy);|Nutritional deficiency,,,,,,,,,,,,,,,,
27122,,refractory disease,,,,,,,,,,,,,,,,
27123,,arterial distal,,,,,,,,,,,,,,,,
27124,,gastrointestinal surgery|Patients,,,,,,,,,,,,,,,,
27125,,menstrual pain|Self-reported,,,,,,,,,,,,,,,,
27126,,colorectal adenocarcinoma,,,,,,,,,,,,,,,,
27127,,adjunct fenestrated cuff,,,,,,,,,,,,,,,,
27128,,hepatitis delta virus,,,,,,,,,,,,,,,,
27129,,ovarian cancer|Capable of understanding written,,,,,,,,,,,,,,,,
27130,,chronic renal failure,,,,,,,,,,,,,,,,
27131,,active viral,,,,,,,,,,,,,,,,
27132,,good cognitive status,,,,,,,,,,,,,,,,
27133,,Health personnel employed,,,,,,,,,,,,,,,,
27134,,anaplastic oligodendroglioma,,,,,,,,,,,,,,,,
27135,,leak|Biliary stricture length,,,,,,,,,,,,,,,,
27136,,mild cognitive impairment (MCI),,,,,,,,,,,,,,,,
27137,,alpha blockers.|Large prostate volume relative to pelvic arch width that can hinder proper placement of applicator insertion,,,,,,,,,,,,,,,,
27138,,breastfeeding|Alcoholism,,,,,,,,,,,,,,,,
27139,,occlusal carious lesions,,,,,,,,,,,,,,,,
27140,,abuse,,,,,,,,,,,,,,,,
27141,,condition|Past adverse reaction,,,,,,,,,,,,,,,,
27142,,Serious mental disorder,,,,,,,,,,,,,,,,
27143,,mixed phenotype acute leukemia,,,,,,,,,,,,,,,,
27144,,Liver functions tests,,,,,,,,,,,,,,,,
27145,,Fit,,,,,,,,,,,,,,,,
27146,,congestive heart,,,,,,,,,,,,,,,,
27147,,Canadian Diabetes,,,,,,,,,,,,,,,,
27148,,pregnancy plan,,,,,,,,,,,,,,,,
27149,,organicity,,,,,,,,,,,,,,,,
27150,,ulcerations|acute febrile processes|diagnosis,,,,,,,,,,,,,,,,
27151,,early stage disease,,,,,,,,,,,,,,,,
27152,,asymptomatic Hepatitis C virus,,,,,,,,,,,,,,,,
27153,,specific personality disorder,,,,,,,,,,,,,,,,
27154,,polytrauma,,,,,,,,,,,,,,,,
27155,,IV;|Refractory hypertension,,,,,,,,,,,,,,,,
27156,,microscopic colitis)|Chronic kidney,,,,,,,,,,,,,,,,
27157,,hear disease,,,,,,,,,,,,,,,,
27158,,Liver Diseases,,,,,,,,,,,,,,,,
27159,,dementia.|The,,,,,,,,,,,,,,,,
27160,,autoimmune-mediated,,,,,,,,,,,,,,,,
27161,,steatosis,,,,,,,,,,,,,,,,
27162,,cozen's test,,,,,,,,,,,,,,,,
27163,,craniocerebral trauma,,,,,,,,,,,,,,,,
27164,,urinary frequency/urgency,,,,,,,,,,,,,,,,
27165,,vasovagal syncope;|Baseline systolic blood pressure,,,,,,,,,,,,,,,,
27166,,traumatic injury.|Use of any P-gp inducer,,,,,,,,,,,,,,,,
27167,,difficulty achieving,,,,,,,,,,,,,,,,
27168,,primary tumor,,,,,,,,,,,,,,,,
27169,,IgE-mediated event,,,,,,,,,,,,,,,,
27170,,and|Mental disorders,,,,,,,,,,,,,,,,
27171,,Hepatic steatosis,,,,,,,,,,,,,,,,
27172,,neuropsychiatric diagnosis,,,,,,,,,,,,,,,,
27173,,neurosensory deficiency,,,,,,,,,,,,,,,,
27174,,radiographic measurable lesion,,,,,,,,,,,,,,,,
27175,,LDi>1cm,,,,,,,,,,,,,,,,
27176,,canal inflammation,,,,,,,,,,,,,,,,
27177,,idiosyncratic,,,,,,,,,,,,,,,,
27178,,ollege graduates,,,,,,,,,,,,,,,,
27179,,plexus nerve block,,,,,,,,,,,,,,,,
27180,,women|Chronic illness,,,,,,,,,,,,,,,,
27181,,hepatitis B virus (HBV) infection,,,,,,,,,,,,,,,,
27182,,Burkitt lymphoma,,,,,,,,,,,,,,,,
27183,,previous diseases,,,,,,,,,,,,,,,,
27184,,malignant tumors;|Pregnant,,,,,,,,,,,,,,,,
27185,,hepatitis C infection|Any,,,,,,,,,,,,,,,,
27186,,Left common carotid artery,,,,,,,,,,,,,,,,
27187,,Chondrosarcoma,,,,,,,,,,,,,,,,
27188,,pathological remission,,,,,,,,,,,,,,,,
27189,,chemotherapy;|Mental illness,,,,,,,,,,,,,,,,
27190,,Intent)|Any of the Suicidal Behavior,,,,,,,,,,,,,,,,
27191,,functional defects,,,,,,,,,,,,,,,,
27192,,affect bladder function,,,,,,,,,,,,,,,,
27193,,control;|Active infection;|Known allergy,,,,,,,,,,,,,,,,
27194,,synergistic T-cell receptor,,,,,,,,,,,,,,,,
27195,,urothelium cancer,,,,,,,,,,,,,,,,
27196,,malignant ascites,,,,,,,,,,,,,,,,
27197,,type 2 diabetes mellitus|Patients,,,,,,,,,,,,,,,,
27198,,cardio-metabolic disease,,,,,,,,,,,,,,,,
27199,,severe coronary heart,,,,,,,,,,,,,,,,
27200,,fibrolamellar cell carcinoma;|Extrahepatic,,,,,,,,,,,,,,,,
27201,,etc.)|Pregnancy,,,,,,,,,,,,,,,,
27202,,gender;|Differentiated thyroid carcinoma (DTC),,,,,,,,,,,,,,,,
27203,,chronic pulmonary disease|Patients,,,,,,,,,,,,,,,,
27204,,difficulty collecting normal,,,,,,,,,,,,,,,,
27205,,herbal preparations/medications,,,,,,,,,,,,,,,,
27206,,cauda equina,,,,,,,,,,,,,,,,
27207,,pathological colonic adenocarcinoma|Clinical TNM classification,,,,,,,,,,,,,,,,
27208,,non-COPD,,,,,,,,,,,,,,,,
27209,,Autoimmune Encephalitis,,,,,,,,,,,,,,,,
27210,,mental condition,,,,,,,,,,,,,,,,
27211,,"PHQ-9),|psychotic disorder",,,,,,,,,,,,,,,,
27212,,E,,,,,,,,,,,,,,,,
27213,,intestinal infection,,,,,,,,,,,,,,,,
27214,,cardiac syncope,,,,,,,,,,,,,,,,
27215,,papillary renal cell carcinoma,,,,,,,,,,,,,,,,
27216,,neck mobility)|Nasal infection,,,,,,,,,,,,,,,,
27217,,liver involvement,,,,,,,,,,,,,,,,
27218,,phlebitis,,,,,,,,,,,,,,,,
27219,,Depressive disorders,,,,,,,,,,,,,,,,
27220,,alcohol abuse|Is using,,,,,,,,,,,,,,,,
27221,,communication,,,,,,,,,,,,,,,,
27222,,dementia|Cognitive impairment,,,,,,,,,,,,,,,,
27223,,recurring infection(s,,,,,,,,,,,,,,,,
27224,,comorbid mental health disorder|No,,,,,,,,,,,,,,,,
27225,,ans|Patients,,,,,,,,,,,,,,,,
27226,,Asplenia.|Severe,,,,,,,,,,,,,,,,
27227,,hypertension)|bleeding disorders,,,,,,,,,,,,,,,,
27228,,smart-phone|can,,,,,,,,,,,,,,,,
27229,,bilateral internal iliac,,,,,,,,,,,,,,,,
27230,,rhinitis symptoms,,,,,,,,,,,,,,,,
27231,,available hepatic imaging results,,,,,,,,,,,,,,,,
27232,,COVID-19 risk,,,,,,,,,,,,,,,,
27233,,pulmonary organ,,,,,,,,,,,,,,,,
27234,,sepsis shock,,,,,,,,,,,,,,,,
27235,,proliferative disease,,,,,,,,,,,,,,,,
27236,,acoustic stimulation,,,,,,,,,,,,,,,,
27237,,debilitating lung disease,,,,,,,,,,,,,,,,
27238,,coma|Age,,,,,,,,,,,,,,,,
27239,,perceptual disorders,,,,,,,,,,,,,,,,
27240,,colorectal cancer,,,,,,,,,,,,,,,,
27241,,skin lesion,,,,,,,,,,,,,,,,
27242,,Open scalp wound,,,,,,,,,,,,,,,,
27243,,admitted alcohol abuse,,,,,,,,,,,,,,,,
27244,,asymptomatic sustained ventricular,,,,,,,,,,,,,,,,
27245,,pericardial constriction.|Invasive mechanical ventilation,,,,,,,,,,,,,,,,
27246,,acuity,,,,,,,,,,,,,,,,
27247,,primary sclerosing cholangitis (PSC),,,,,,,,,,,,,,,,
27248,,prolonged duration,,,,,,,,,,,,,,,,
27249,,maternal uniparental disomy,,,,,,,,,,,,,,,,
27250,,Carotid Stenosis,,,,,,,,,,,,,,,,
27251,,gold fiducial markers,,,,,,,,,,,,,,,,
27252,,alcohol abuse|Participation,,,,,,,,,,,,,,,,
27253,,Age<18 y.o.;|The Transcatheter Heart Valve (THV),,,,,,,,,,,,,,,,
27254,,primary APS,,,,,,,,,,,,,,,,
27255,,vegetarian.|Those,,,,,,,,,,,,,,,,
27256,,Patellofemoral dislocation,,,,,,,,,,,,,,,,
27257,,screening Infection,,,,,,,,,,,,,,,,
27258,,Rett syndrome,,,,,,,,,,,,,,,,
27259,,high-grade dysplasia,,,,,,,,,,,,,,,,
27260,,neurological pathology|Having limiting,,,,,,,,,,,,,,,,
27261,,neurodevelopmental delay|type,,,,,,,,,,,,,,,,
27262,,membranes;|Serious complication;|Be absent,,,,,,,,,,,,,,,,
27263,,chronic infectious diseases.||For,,,,,,,,,,,,,,,,
27264,,upper limb disability,,,,,,,,,,,,,,,,
27265,,solid tumor disease,,,,,,,,,,,,,,,,
27266,,local anesthetics|Failure,,,,,,,,,,,,,,,,
27267,,birth|congenital malformation|consanguinity,,,,,,,,,,,,,,,,
27268,,hypotensive episode,,,,,,,,,,,,,,,,
27269,,Primary tumor locations,,,,,,,,,,,,,,,,
27270,,classification|5 Infection,,,,,,,,,,,,,,,,
27271,,sudden hypotension,,,,,,,,,,,,,,,,
27272,,chronic high-dose,,,,,,,,,,,,,,,,
27273,,vestibular- symptoms,,,,,,,,,,,,,,,,
27274,,biodegradable facial tissue augmentation therapy,,,,,,,,,,,,,,,,
27275,,Hashimoto's thyroiditis,,,,,,,,,,,,,,,,
27276,,zaleplon,,,,,,,,,,,,,,,,
27277,,ulcer lesions,,,,,,,,,,,,,,,,
27278,,taste disturbances,,,,,,,,,,,,,,,,
27279,,Spinal cord,,,,,,,,,,,,,,,,
27280,,urine dipstick,,,,,,,,,,,,,,,,
27281,,marrow aplasia,,,,,,,,,,,,,,,,
27282,,"clinical diagnosis,|2",,,,,,,,,,,,,,,,
27283,,comprehension disorders,,,,,,,,,,,,,,,,
27284,,cold testing|the periodontal stage of the tooth should be I,,,,,,,,,,,,,,,,
27285,,laboratory liver profile,,,,,,,,,,,,,,,,
27286,,Malignant neoplastic diseases,,,,,,,,,,,,,,,,
27287,,weight loss medications|Currently,,,,,,,,,,,,,,,,
27288,,tumors around,,,,,,,,,,,,,,,,
27289,,suffers from diseases of the blood,,,,,,,,,,,,,,,,
27290,,valgus)|Systemic auto-immune rheumatic disease|Arthroscopy,,,,,,,,,,,,,,,,
27291,,major cancer,,,,,,,,,,,,,,,,
27292,,heart failure|Individuals,,,,,,,,,,,,,,,,
27293,,translocated RCC,,,,,,,,,,,,,,,,
27294,,mild anemia,,,,,,,,,,,,,,,,
27295,,thrombosis tendency,,,,,,,,,,,,,,,,
27296,,biopsies,,,,,,,,,,,,,,,,
27297,,spinal disease|Coagulopathies|Pregnancy|VAS pain level,,,,,,,,,,,,,,,,
27298,,atherosclerotic peripheral artery disease,,,,,,,,,,,,,,,,
27299,,secondary osteoporosis,,,,,,,,,,,,,,,,
27300,,galactosemia|Probiotic allergies,,,,,,,,,,,,,,,,
27301,,type 2)|Immunocompromised state,,,,,,,,,,,,,,,,
27302,,therapy|Lack of proficiency,,,,,,,,,,,,,,,,
27303,,common femoral endarterectomy,,,,,,,,,,,,,,,,
27304,,breathing frequence,,,,,,,,,,,,,,,,
27305,,breast cancers|Women,,,,,,,,,,,,,,,,
27306,,Airway Center,,,,,,,,,,,,,,,,
27307,,episodic hangover,,,,,,,,,,,,,,,,
27308,,cardiac,,,,,,,,,,,,,,,,
27309,,Inability to withdraw,,,,,,,,,,,,,,,,
27310,,bone marrow failure disorders,,,,,,,,,,,,,,,,
27311,,bone fractures,,,,,,,,,,,,,,,,
27312,,mechanical neck pain,,,,,,,,,,,,,,,,
27313,,candidemia,,,,,,,,,,,,,,,,
27314,,ischemia-driven,,,,,,,,,,,,,,,,
27315,,pulpal necrosis,,,,,,,,,,,,,,,,
27316,,English|At risk of gonorrhoea infection,,,,,,,,,,,,,,,,
27317,,traumatic brain injury;|Comorbidities,,,,,,,,,,,,,,,,
27318,,intracranial stenosis,,,,,,,,,,,,,,,,
27319,,corona virus disease-2019 (COVID-19),,,,,,,,,,,,,,,,
27320,,SC injections|Uncontrolled hypertension,,,,,,,,,,,,,,,,
27321,,type 1 diabetes|Before,,,,,,,,,,,,,,,,
27322,,Periodontal disease|Systemic diseases,,,,,,,,,,,,,,,,
27323,,amyotrophic Lateral Sclerosis)||Schizophrenia,,,,,,,,,,,,,,,,
27324,,muscle imbalance,,,,,,,,,,,,,,,,
27325,,interstitial fibrosis,,,,,,,,,,,,,,,,
27326,,esophageal erosion.|serious illness,,,,,,,,,,,,,,,,
27327,,left anterior hemiblock,,,,,,,,,,,,,,,,
27328,,liver cirrhosis:||ALB<35,,,,,,,,,,,,,,,,
27329,,endobronchial biopsies,,,,,,,,,,,,,,,,
27330,,Carcinomatous meningitis,,,,,,,,,,,,,,,,
27331,,hospital cardiac arrest,,,,,,,,,,,,,,,,
27332,,clinical symptoms only,,,,,,,,,,,,,,,,
27333,,intrahepatic,,,,,,,,,,,,,,,,
27334,,acute pulmonary oedema,,,,,,,,,,,,,,,,
27335,,hyperpigmentation,,,,,,,,,,,,,,,,
27336,,orthostatic blood pressure,,,,,,,,,,,,,,,,
27337,,Adverse pregnancy reaction,,,,,,,,,,,,,,,,
27338,,changes in lifestyle,,,,,,,,,,,,,,,,
27339,,daily smoking,,,,,,,,,,,,,,,,
27340,,sexually transmitted infection,,,,,,,,,,,,,,,,
27341,,jugular ingurgitation,,,,,,,,,,,,,,,,
27342,,chronic SCI,,,,,,,,,,,,,,,,
27343,,squamous,,,,,,,,,,,,,,,,
27344,,medicine|chronic diseases,,,,,,,,,,,,,,,,
27345,,preoperative astigmatism,,,,,,,,,,,,,,,,
27346,,end-of-life care,,,,,,,,,,,,,,,,
27347,,disorders related to immune suppression,,,,,,,,,,,,,,,,
27348,,better|Participant,,,,,,,,,,,,,,,,
27349,,Neurocognitive Disorder,,,,,,,,,,,,,,,,
27350,,unstable ischemic heart disease,,,,,,,,,,,,,,,,
27351,,nonoxynol-9 lubricant,,,,,,,,,,,,,,,,
27352,,adequate hepatic function,,,,,,,,,,,,,,,,
27353,,pain,,,,,,,,,,,,,,,,
27354,,Type 1 Diabetic patients):||No exclusion criteria||Inclusion,,,,,,,,,,,,,,,,
27355,,triplets,,,,,,,,,,,,,,,,
27356,,mild obstructive lung disease,,,,,,,,,,,,,,,,
27357,,reproductive age；|Appropriate biochemical indicators,,,,,,,,,,,,,,,,
27358,,leveled congestive heart failure,,,,,,,,,,,,,,,,
27359,,females).|Participant,,,,,,,,,,,,,,,,
27360,,corn starch,,,,,,,,,,,,,,,,
27361,,University.|Distant metastasis,,,,,,,,,,,,,,,,
27362,,deficiency disorders,,,,,,,,,,,,,,,,
27363,,cardiac arrhythmic,,,,,,,,,,,,,,,,
27364,,Idiopathic PD|Diagnosis,,,,,,,,,,,,,,,,
27365,,sinus tachycardia,,,,,,,,,,,,,,,,
27366,,primary Sjogren syndrome).||Fibrosing,,,,,,,,,,,,,,,,
27367,,infected bronchiectasis,,,,,,,,,,,,,,,,
27368,,physical examination|Participants,,,,,,,,,,,,,,,,
27369,,pelvic floor prolapse,,,,,,,,,,,,,,,,
27370,,drug dependence,,,,,,,,,,,,,,,,
27371,,surgery|Potentially resectable,,,,,,,,,,,,,,,,
27372,,exertional angina,,,,,,,,,,,,,,,,
27373,,gallbladder stone disease,,,,,,,,,,,,,,,,
27374,,interpret,,,,,,,,,,,,,,,,
27375,,chorioangioma,,,,,,,,,,,,,,,,
27376,,receptor occupancy,,,,,,,,,,,,,,,,
27377,,esophageal small cell carcinoma,,,,,,,,,,,,,,,,
27378,,tape,,,,,,,,,,,,,,,,
27379,,ileus,,,,,,,,,,,,,,,,
27380,,impaired decision-making capabilities,,,,,,,,,,,,,,,,
27381,,dental fluorosis,,,,,,,,,,,,,,,,
27382,,functional iron deficiency||Hemoglobin,,,,,,,,,,,,,,,,
27383,,tiredness.|Muscle,,,,,,,,,,,,,,,,
27384,,active proliferative retinopathy,,,,,,,,,,,,,,,,
27385,,wound healing,,,,,,,,,,,,,,,,
27386,,left heart valve disease,,,,,,,,,,,,,,,,
27387,,solid organ transplantation.|Previously,,,,,,,,,,,,,,,,
27388,,chronic widespread pain,,,,,,,,,,,,,,,,
27389,,hypodense,,,,,,,,,,,,,,,,
27390,,upper extremity sequelae,,,,,,,,,,,,,,,,
27391,,third gender,,,,,,,,,,,,,,,,
27392,,difficulty collecting venous blood,,,,,,,,,,,,,,,,
27393,,tortuosity,,,,,,,,,,,,,,,,
27394,,active malignancy,,,,,,,,,,,,,,,,
27395,,subchondral insufficiency fractures,,,,,,,,,,,,,,,,
27396,,epithelial tear,,,,,,,,,,,,,,,,
27397,,myocardial infarction etc|Uncontrolled,,,,,,,,,,,,,,,,
27398,,intravenous bubble study,,,,,,,,,,,,,,,,
27399,,choroiditis,,,,,,,,,,,,,,,,
27400,,retinal image taking.|Distressed,,,,,,,,,,,,,,,,
27401,,AD criteria,,,,,,,,,,,,,,,,
27402,,schizophreniform psychosis,,,,,,,,,,,,,,,,
27403,,neuromyelitis optica,,,,,,,,,,,,,,,,
27404,,arterial thrombotic events,,,,,,,,,,,,,,,,
27405,,Allergic reaction,,,,,,,,,,,,,,,,
27406,,hernia,,,,,,,,,,,,,,,,
27407,,rare genetic disease,,,,,,,,,,,,,,,,
27408,,myocardial ischemia|Detection,,,,,,,,,,,,,,,,
27409,,recreational cannabis,,,,,,,,,,,,,,,,
27410,,infection.|Previous residence,,,,,,,,,,,,,,,,
27411,,surgically sterilized.|7,,,,,,,,,,,,,,,,
27412,,recreational drugs,,,,,,,,,,,,,,,,
27413,,comorbid medical illness,,,,,,,,,,,,,,,,
27414,,Chiari malformation,,,,,,,,,,,,,,,,
27415,,anterior open bite,,,,,,,,,,,,,,,,
27416,,Postpartum,,,,,,,,,,,,,,,,
27417,,breast cancer|using AI,,,,,,,,,,,,,,,,
27418,,structural abnormalities,,,,,,,,,,,,,,,,
27419,,unstable angina.|Major surgical procedure,,,,,,,,,,,,,,,,
27420,,botanical preparations,,,,,,,,,,,,,,,,
27421,,Relapse,,,,,,,,,,,,,,,,
27422,,vitamin K deficiency,,,,,,,,,,,,,,,,
27423,,brain tumours,,,,,,,,,,,,,,,,
27424,,mechanically ventilated.||,,,,,,,,,,,,,,,,
27425,,non-melanocytic skin cancer,,,,,,,,,,,,,,,,
27426,,chronic hepatitis B）.|Age,,,,,,,,,,,,,,,,
27427,,frozen semen,,,,,,,,,,,,,,,,
27428,,chronic productive cough,,,,,,,,,,,,,,,,
27429,,behavioral health-related,,,,,,,,,,,,,,,,
27430,,bilateral hand pain,,,,,,,,,,,,,,,,
27431,,smokers|Alcohol abuse,,,,,,,,,,,,,,,,
27432,,reason|Allergy,,,,,,,,,,,,,,,,
27433,,phacoemulsification cataract extraction,,,,,,,,,,,,,,,,
27434,,regular smoking,,,,,,,,,,,,,,,,
27435,,acid folic deficiency,,,,,,,,,,,,,,,,
27436,,Non obstructive CAD,,,,,,,,,,,,,,,,
27437,,neuroretinal disease.|Patients,,,,,,,,,,,,,,,,
27438,,Cushing Syndrome,,,,,,,,,,,,,,,,
27439,,violent behavior,,,,,,,,,,,,,,,,
27440,,CSPC,,,,,,,,,,,,,,,,
27441,,HPV-induced etiology of the lesion(s,,,,,,,,,,,,,,,,
27442,,related eye care products,,,,,,,,,,,,,,,,
27443,,CNS relapse,,,,,,,,,,,,,,,,
27444,,- Human immunodeficiency,,,,,,,,,,,,,,,,
27445,,discharged from the ED|Significant,,,,,,,,,,,,,,,,
27446,,Tumor type,,,,,,,,,,,,,,,,
27447,,ribociclib + fulvestrant,,,,,,,,,,,,,,,,
27448,,isolated cancers,,,,,,,,,,,,,,,,
27449,,interest;|Allergies,,,,,,,,,,,,,,,,
27450,,transgender men|Platelet count,,,,,,,,,,,,,,,,
27451,,perineural invasion|Patients,,,,,,,,,,,,,,,,
27452,,chemotherapies,,,,,,,,,,,,,,,,
27453,,ARRPAC,,,,,,,,,,,,,,,,
27454,,gastrointestinal (GI) perforation,,,,,,,,,,,,,,,,
27455,,medical history|renal failure,,,,,,,,,,,,,,,,
27456,,motor impairments,,,,,,,,,,,,,,,,
27457,,arterial thromboembolic event,,,,,,,,,,,,,,,,
27458,,organic brain damage,,,,,,,,,,,,,,,,
27459,,lung conditions,,,,,,,,,,,,,,,,
27460,,dysfunction of the liver,,,,,,,,,,,,,,,,
27461,,chronic active Hepatitis C,,,,,,,,,,,,,,,,
27462,,menstrual discomfort,,,,,,,,,,,,,,,,
27463,,equinovarus,,,,,,,,,,,,,,,,
27464,,months)|Cardiorespiratory pathology incompatible,,,,,,,,,,,,,,,,
27465,,hemorrhagic gastric ulcer,,,,,,,,,,,,,,,,
27466,,heart valve function defect,,,,,,,,,,,,,,,,
27467,,chronic stroke,,,,,,,,,,,,,,,,
27468,,unresectable factors,,,,,,,,,,,,,,,,
